country_name,Cause of death,deaths_by_risk_factor_2021
World,High blood pressure,10852106
World,Diet high in sodium,1857696
World,Diet low in whole grains,1546243
World,Alcohol use,1809439
World,Diet low in fruits,1683592
World,Unsafe water source,802486
World,Secondhand smoke,1292098
World,Child wasting,493989
World,Unsafe sex,900652
World,Diet low in nuts and seeds,658247
World,Indoor air pollution,3112927
World,Diet low in vegetables,861480
World,Smoking,6175019
World,High blood sugar,5292827
World,Air pollution (outdoor & indoor),8079996
World,Obesity,3709063
World,Unsafe sanitation,595242
World,Drug use,463360
World,Low bone mineral density,459661
World,Vitamin A deficiency,17374
World,Child stunting,311123
World,Non-exclusive breastfeeding,92659
World,Iron deficiency,34292
World,Outdoor particulate matter pollution,4718812
World,Low physical activity,657619
World,No access to handwashing facility,446330
