country_name,Code,Year,Population density
Afghanistan,AFG,2015,51.87091
Africa,,2015,40.775608
Albania,ALB,2015,105.78956
Algeria,DZA,2015,16.802637
American Samoa,ASM,2015,264.475
Andorra,AND,2015,153.60425
Angola,AGO,2015,22.585867
Anguilla,AIA,2015,158.16667
Antigua and Barbuda,ATG,2015,203.23181
Argentina,ARG,2015,15.886715
Armenia,ARM,2015,102.605515
Aruba,ABW,2015,578.8889
Asia,,2015,144.09256
Australia,AUS,2015,3.1133564
Austria,AUT,2015,104.75081
Azerbaijan,AZE,2015,118.00192
Bahamas,BHS,2015,38.497
Bahrain,BHR,2015,1733.7418
Bangladesh,BGD,2015,1224.4233
Barbados,BRB,2015,648.83026
Belarus,BLR,2015,46.74692
Belgium,BEL,2015,372.36896
Belize,BLZ,2015,15.622095
Benin,BEN,2015,100.750984
Bermuda,BMU,2015,1175.5741
Bhutan,BTN,2015,19.418564
Bolivia,BOL,2015,10.167735
Bonaire Sint Eustatius and Saba,BES,2015,76.51242
Bosnia and Herzegovina,BIH,2015,68.721504
Botswana,BWA,2015,3.8876996
Brazil,BRA,2015,24.129236
British Virgin Islands,VGB,2015,230.14667
Brunei,BRN,2015,80.11841
Bulgaria,BGR,2015,66.11566
Burkina Faso,BFA,2015,68.63117
Burundi,BDI,2015,430.20172
Cambodia,KHM,2015,88.50699
Cameroon,CMR,2015,48.155148
Canada,CAN,2015,4.091872
Cape Verde,CPV,2015,127.147644
Cayman Islands,CYM,2015,256.9375
Central African Republic,CAF,2015,7.4309335
Chad,TCD,2015,11.632484
Chile,CHL,2015,24.272833
China,CHN,2015,148.71143
Colombia,COL,2015,42.334328
Comoros,COM,2015,390.48093
Congo,COG,2015,14.927036
Cook Islands,COK,2015,72.7875
Costa Rica,CRI,2015,94.360435
Cote d'Ivoire,CIV,2015,79.39102
Croatia,HRV,2015,74.7629
Cuba,CUB,2015,108.62301
Curacao,CUW,2015,375.27026
Cyprus,CYP,2015,131.98096
Czechia,CZE,2015,136.34993
Democratic Republic of Congo,COD,2015,35.74493
Denmark,DNK,2015,142.09245
Djibouti,DJI,2015,44.01704
Dominica,DMA,2015,93.905334
Dominican Republic,DOM,2015,219.53728
East Timor,TLS,2015,81.044655
Ecuador,ECU,2015,65.49455
Egypt,EGY,2015,100.052574
El Salvador,SLV,2015,298.43985
Equatorial Guinea,GNQ,2015,51.83337
Eritrea,ERI,2015,25.657078
Estonia,EST,2015,30.750433
Eswatini,SWZ,2015,66.4432
Ethiopia,ETH,2015,92.03419
Europe,,2015,33.67118
European Union (27),,2015,111.07265
Falkland Islands,FLK,2015,0.28200492
Faroe Islands,FRO,2015,35.70511
Fiji,FJI,2015,50.278217
Finland,FIN,2015,18.02849
France,FRA,2015,118.556305
French Guiana,GUF,2015,3.216725
French Polynesia,PYF,2015,80.057045
Gabon,GAB,2015,7.920945
Gambia,GMB,2015,219.81541
Georgia,GEO,2015,54.562828
Germany,DEU,2015,234.9167
Ghana,GHA,2015,126.11828
Gibraltar,GIB,2015,3321.3
Greece,GRC,2015,83.94803
Greenland,GRL,2015,0.13655256
Grenada,GRD,2015,337.32648
Guadeloupe,GLP,2015,249.35246
Guam,GUM,2015,305.3963
Guatemala,GTM,2015,149.04578
Guinea,GIN,2015,47.888153
Guinea-Bissau,GNB,2015,63.529907
Guyana,GUY,2015,3.8546355
Haiti,HTI,2015,381.8305
High-income countries,,2015,34.443356
Honduras,HND,2015,82.55702
Hong Kong,HKG,2015,7015.6294
Hungary,HUN,2015,107.81514
Iceland,ISL,2015,3.2823763
India,IND,2015,446.66653
Indonesia,IDN,2015,138.33109
Iran,IRN,2015,50.921024
Iraq,IRQ,2015,86.51949
Ireland,IRL,2015,68.260956
Isle of Man,IMN,2015,146.68771
Israel,ISR,2015,372.131
Italy,ITA,2015,204.84218
Jamaica,JAM,2015,258.77515
Japan,JPN,2015,349.17932
Jordan,JOR,2015,107.49296
Kazakhstan,KAZ,2015,6.698587
Kenya,KEN,2015,82.73628
Kiribati,KIR,2015,144.22963
Kuwait,KWT,2015,215.17755
Kyrgyzstan,KGZ,2015,31.292368
Laos,LAO,2015,29.469887
Latvia,LVA,2015,31.783287
Lebanon,LBN,2015,632.695
Lesotho,LSO,2015,69.32191
Liberia,LBR,2015,48.374565
Libya,LBY,2015,3.7122345
Liechtenstein,LIE,2015,233.9
Lithuania,LTU,2015,46.410667
Low-income countries,,2015,40.160282
Lower-middle-income countries,,2015,122.05879
Luxembourg,LUX,2015,221.22734
Macao,MAC,2015,18854.121
Madagascar,MDG,2015,43.703514
Malawi,MWI,2015,181.22174
Malaysia,MYS,2015,95.06254
Maldives,MDV,2015,1427.2167
Mali,MLI,2015,15.237809
Malta,MLT,2015,1390.5593
Marshall Islands,MHL,2015,271.23334
Martinique,MTQ,2015,362.01697
Mauritania,MRT,2015,3.8478305
Mauritius,MUS,2015,647.1117
Mayotte,MYT,2015,656.66846
Mexico,MEX,2015,62.281597
Micronesia (country),FSM,2015,155.32428
Moldova,MDA,2015,99.70182
Monaco,MCO,2015,17651.152
Mongolia,MNG,2015,1.9110848
Montenegro,MNE,2015,46.702377
Montserrat,MSR,2015,46.93
Morocco,MAR,2015,77.543335
Mozambique,MOZ,2015,33.75922
Myanmar,MMR,2015,78.277016
Namibia,NAM,2015,2.883923
Nauru,NRU,2015,548.7
Nepal,NPL,2015,194.09578
Netherlands,NLD,2015,508.0911
New Caledonia,NCL,2015,15.491083
New Zealand,NZL,2015,17.523212
Nicaragua,NIC,2015,51.100365
Niger,NER,2015,15.741294
Nigeria,NGA,2015,209.3524
Niue,NIU,2015,6.9346156
North America,,2015,27.24055
North Korea,PRK,2015,212.40225
North Macedonia,MKD,2015,78.52363
Northern Mariana Islands,MNP,2015,112.03913
Norway,NOR,2015,14.247059
Oceania,,2015,4.7804704
Oman,OMN,2015,13.521477
Pakistan,PAK,2015,281.8738
Palau,PLW,2015,38.676086
Palestine,PSE,2015,750.4674
Panama,PAN,2015,53.384148
Papua New Guinea,PNG,2015,19.306732
Paraguay,PRY,2015,15.502406
Peru,PER,2015,23.795
Philippines,PHL,2015,353.19778
Poland,POL,2015,125.01246
Portugal,PRT,2015,113.20559
Puerto Rico,PRI,2015,397.04736
Qatar,QAT,2015,211.25648
Reunion,REU,2015,344.6279
Romania,ROU,2015,86.36569
Russia,RUS,2015,8.872734
Rwanda,RWA,2015,471.82922
Saint Helena,SHN,2015,14.176923
Saint Kitts and Nevis,KNA,2015,181.18462
Saint Lucia,LCA,2015,286.75247
Saint Martin (French part),MAF,2015,747.68
Saint Pierre and Miquelon,SPM,2015,25.960869
Saint Vincent and the Grenadines,VCT,2015,274.29486
Samoa,WSM,2015,72.58777
San Marino,SMR,2015,565.43335
Sao Tome and Principe,STP,2015,208.65208
Saudi Arabia,SAU,2015,13.943847
Senegal,SEN,2015,75.79772
Serbia,SRB,2015,85.35209
Seychelles,SYC,2015,233.14565
Sierra Leone,SLE,2015,97.50151
Singapore,SGP,2015,7695.464
Sint Maarten (Dutch part),SXM,2015,1102.5883
Slovakia,SVK,2015,112.73459
Slovenia,SVN,2015,102.29967
Solomon Islands,SLB,2015,22.844694
Somalia,SOM,2015,22.008749
South Africa,ZAF,2015,46.759544
South America,,2015,23.458166
South Korea,KOR,2015,522.3761
South Sudan,SSD,2015,17.577215
Spain,ESP,2015,93.41721
Sri Lanka,LKA,2015,351.27664
Sudan,SDN,2015,21.426357
Suriname,SUR,2015,3.7284167
Sweden,SWE,2015,24.060589
Switzerland,CHE,2015,209.66888
Syria,SYR,2015,105.78127
Taiwan,TWN,2015,664.48065
Tajikistan,TJK,2015,62.279984
Tanzania,TZA,2015,58.727657
Thailand,THA,2015,138.07433
Togo,TGO,2015,140.89352
Tokelau,TKL,2015,171.9
Tonga,TON,2015,147.37639
Trinidad and Tobago,TTO,2015,278.59436
Tunisia,TUN,2015,73.39257
Turkey,TUR,2015,103.96453
Turkmenistan,TKM,2015,13.227023
Turks and Caicos Islands,TCA,2015,38.56
Tuvalu,TUV,2015,366.13333
Uganda,UGA,2015,187.17058
Ukraine,UKR,2015,79.02123
United Arab Emirates,ARE,2015,122.14346
United Kingdom,GBR,2015,270.25217
United States,USA,2015,35.652294
United States Virgin Islands,VIR,2015,286.42856
Upper-middle-income countries,,2015,48.96268
Uruguay,URY,2015,19.24364
Uzbekistan,UZB,2015,69.78132
Vanuatu,VUT,2015,21.83068
Vatican,VAT,2015,1315.909
Venezuela,VEN,2015,34.6624
Vietnam,VNM,2015,296.154
Wallis and Futuna,WLF,2015,87.03571
Western Sahara,ESH,2015,1.8279324
World,OWID_WRL,2015,57.400803
Yemen,YEM,2015,59.01733
Zambia,ZMB,2015,22.059874
Zimbabwe,ZWE,2015,37.22117
