country_name,Country Code,Series Name,Series Code,Urban Pop. Rate
World,WLD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.82724997
World,WLD,Urban population growth (annual %),SP.URB.GROW,2.066192676
Sub-Saharan Africa,SSF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,38.63131919
Sub-Saharan Africa,SSF,Urban population growth (annual %),SP.URB.GROW,4.233538928
Middle East & North Africa,MEA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,64.05737008
Middle East & North Africa,MEA,Urban population growth (annual %),SP.URB.GROW,2.695858125
East Asia & Pacific,EAS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.43863813
East Asia & Pacific,EAS,Urban population growth (annual %),SP.URB.GROW,2.32123121
Arab World,ARB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.84615313
Arab World,ARB,Urban population growth (annual %),SP.URB.GROW,2.75797536
Europe & Central Asia,ECS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,71.63713899
Europe & Central Asia,ECS,Urban population growth (annual %),SP.URB.GROW,0.715610417
North America,NAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.63309202
North America,NAC,Urban population growth (annual %),SP.URB.GROW,0.955473687
Latin America & Caribbean,LCN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,79.91008068
Latin America & Caribbean,LCN,Urban population growth (annual %),SP.URB.GROW,1.361870193
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.803
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,3.996007967
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.434
Albania,ALB,Urban population growth (annual %),SP.URB.GROW,1.484764333
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,70.848
Algeria,DZA,Urban population growth (annual %),SP.URB.GROW,2.888877932
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.238
American Samoa,ASM,Urban population growth (annual %),SP.URB.GROW,-1.697112343
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.345
Andorra,AND,Urban population growth (annual %),SP.URB.GROW,0.066284743
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.446
Angola,AGO,Urban population growth (annual %),SP.URB.GROW,4.75101947
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25
Antigua and Barbuda,ATG,Urban population growth (annual %),SP.URB.GROW,0.08898777
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.503
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1.215797063
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.085
Armenia,ARM,Urban population growth (annual %),SP.URB.GROW,-0.43578728
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.108
Aruba,ABW,Urban population growth (annual %),SP.URB.GROW,0.793025568
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.701
Australia,AUS,Urban population growth (annual %),SP.URB.GROW,1.554800599
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.715
Austria,AUT,Urban population growth (annual %),SP.URB.GROW,1.44900148
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.714
Azerbaijan,AZE,Urban population growth (annual %),SP.URB.GROW,1.726309145
"Bahamas, The",BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.746
"Bahamas, The",BHS,Urban population growth (annual %),SP.URB.GROW,1.006460428
Bahrain,BHR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.999
Bahrain,BHR,Urban population growth (annual %),SP.URB.GROW,3.911034989
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.308
